[kenya:~/src] ./http-timing.py --iterations 5000 --requests=290
0 Status code 200 time 5651924
5 Status code 200 time 5118969
10 Status code 200 time 5620401
16 Status code 200 time 5720277
22 Status code 200 time 5840044
28 Status code 200 time 5592873
33 Status code 200 time 5235938
38 Status code 200 time 5076511
44 Status code 200 time 5285362
49 Status code 200 time 5136238
54 Status code 200 time 5139796
59 Status code 200 time 5122704
64 Status code 200 time 5156541
69 Status code 200 time 5163672
75 Status code 200 time 5164036
80 Status code 200 time 5040286
85 Status code 200 time 5041164
90 Status code 200 time 5010381
95 Status code 200 time 4982564
100 Status code 200 time 4892224
105 Status code 200 time 4878919
110 Status code 200 time 5043996
115 Status code 200 time 5093526
120 Status code 200 time 5524545
125 Status code 200 time 5336362
131 Status code 200 time 4998545
136 Status code 200 time 5075378
141 Status code 200 time 5033202
146 Status code 200 time 4876860
151 Status code 200 time 4781760
156 Status code 200 time 6334088
162 Status code 200 time 5208510
167 Status code 200 time 5224323
173 Status code 200 time 5019927
178 Status code 200 time 5259271
183 Status code 200 time 5262660
188 Status code 200 time 5336809
193 Status code 200 time 5223487
199 Status code 200 time 5211083
204 Status code 200 time 5084766
209 Status code 200 time 5844110
215 Status code 200 time 8785165
224 Status code 200 time 12795100
237 Status code 200 time 8297293
245 Status code 200 time 8131164
253 Status code 200 time 7837124
261 Status code 200 time 6054898
267 Status code 200 time 4689407
272 Status code 200 time 4678642
276 Status code 200 time 5891859
282 Status code 200 time 4747202
287 Status code 200 time 4996615
292 Status code 200 time 5233255
297 Status code 200 time 5049326
302 Status code 200 time 5414696
308 Status code 200 time 5526690
313 Status code 200 time 5756809
319 Status code 200 time 6030004
325 Status code 200 time 5451326
331 Status code 200 time 5283800
336 Status code 200 time 5127259
341 Status code 200 time 5131794
346 Status code 200 time 5132630
351 Status code 200 time 5016735
356 Status code 200 time 5142735
362 Status code 200 time 5298493
367 Status code 200 time 5567551
372 Status code 200 time 5761878
378 Status code 200 time 5295191
384 Status code 200 time 5194826
389 Status code 200 time 4980764
394 Status code 200 time 5137871
399 Status code 200 time 5195980
404 Status code 200 time 5123230
409 Status code 200 time 5098029
414 Status code 200 time 4956591
419 Status code 200 time 4933456
424 Status code 200 time 5237981
430 Status code 200 time 5122864
435 Status code 200 time 4888816
440 Status code 200 time 4974989
445 Status code 200 time 5259826
450 Status code 200 time 5048927
455 Status code 200 time 4894997
460 Status code 200 time 5125913
465 Status code 200 time 5023745
470 Status code 200 time 5133837
475 Status code 200 time 5275232
481 Status code 200 time 5393858
486 Status code 200 time 5301028
491 Status code 200 time 5228957
497 Status code 200 time 5180475
502 Status code 200 time 5240491
507 Status code 200 time 4882987
512 Status code 200 time 5003008
517 Status code 200 time 4890959
522 Status code 200 time 5540968
528 Status code 200 time 5044149
533 Status code 200 time 5119027
538 Status code 200 time 4969701
543 Status code 200 time 4938282
548 Status code 200 time 4987264
553 Status code 200 time 4908868
558 Status code 200 time 4913303
563 Status code 200 time 4976828
568 Status code 200 time 5650212
573 Status code 200 time 5065095
578 Status code 200 time 5180271
